Angle;Correlation_p0;Correlation_p1;Correlation_p2;Ionization_Calibration_p0;Ionization_Calibration_p1;Ionization_Calibration_p2;Ionization_Resolution_p0;Ionization_Resolution_p1;Ionization_Resolution_p2;Ionization_TriggerEfficiency_p0;Ionization_TriggerEfficiency_p1;Multiplicity;Rotated_Calibration_p0;Rotated_Calibration_p1;Rotated_Calibration_p2;Rotated_Resolution_p0;Rotated_Resolution_p1;Rotated_Resolution_p2;Rotated_TriggerEfficiency_p0;Rotated_TriggerEfficiency_p1;Scintillation_Calibration_p0;Scintillation_Calibration_p1;Scintillation_Calibration_p2;Scintillation_Resolution_p0;Scintillation_Resolution_p1;Scintillation_Resolution_p2;Scintillation_TriggerEfficiency_p0;Scintillation_TriggerEfficiency_p1;TriggerEfficiency_Correlation_p0;WeekIndex;end_time;end_time_sec;start_time;start_time_sec
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;2011-10-21 11:00:00;1319194800;2011-10-09 18:00:00;1318183200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;5;2011-10-21 11:00:00;1319194800;2011-10-09 18:00:00;1318183200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;2011-10-28 11:00:00;1319799600;2011-10-21 11:00:00;1319194800
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6;2011-10-28 11:00:00;1319799600;2011-10-21 11:00:00;1319194800
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2011-11-04 11:00:00;1320404400;2011-10-28 11:00:00;1319799600
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7;2011-11-04 11:00:00;1320404400;2011-10-28 11:00:00;1319799600
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;2011-11-11 11:00:00;1321009200;2011-11-04 11:00:00;1320404400
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8;2011-11-11 11:00:00;1321009200;2011-11-04 11:00:00;1320404400
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2011-11-18 11:00:00;1321614000;2011-11-11 11:00:00;1321009200
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9;2011-11-18 11:00:00;1321614000;2011-11-11 11:00:00;1321009200
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;2011-11-25 11:00:00;1322218800;2011-11-18 11:00:00;1321614000
0.5551;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;SS;87.3529833647;0.974166083787;0.0;1.75774959921;25.5733907315;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10;2011-11-25 11:00:00;1322218800;2011-11-18 11:00:00;1321614000
0.5369;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;MS;95.2375255938;0.993381805995;0.0;2.04472862472;0.0164173907215;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11;2011-12-02 11:00:00;1322823600;2011-11-25 11:00:00;1322218800
